atemp,atemp_c,casual,cnt,data_level,day_type,demand_level,dteday,holiday,hr,hum,humidity_pct,mnth,registered,season,season_label,temp,temp_c,weather_label,weathersit,weekday,weekday_label,windspeed,windspeed_kmh,workingday,year,yr
0.2879,14.395,3,16,hourly,Non-Hari Kerja,,2011-01-01,0,0,0.81,81.0,1,13,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.2727,13.635,8,40,hourly,Non-Hari Kerja,,2011-01-01,0,1,0.8,80.0,1,32,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.2727,13.635,5,32,hourly,Non-Hari Kerja,,2011-01-01,0,2,0.8,80.0,1,27,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.2879,14.395,3,13,hourly,Non-Hari Kerja,,2011-01-01,0,3,0.75,75.0,1,10,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.2879,14.395,0,1,hourly,Non-Hari Kerja,,2011-01-01,0,4,0.75,75.0,1,1,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.2576,12.879999999999999,0,1,hourly,Non-Hari Kerja,,2011-01-01,0,5,0.75,75.0,1,1,1,Musim Semi,0.24,9.84,Berkabut/Berawan,2,6,Sabtu,0.0896,6.0032,0,2011,0
0.2727,13.635,2,2,hourly,Non-Hari Kerja,,2011-01-01,0,6,0.8,80.0,1,0,1,Musim Semi,0.22,9.02,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.2576,12.879999999999999,1,3,hourly,Non-Hari Kerja,,2011-01-01,0,7,0.86,86.0,1,2,1,Musim Semi,0.2,8.200000000000001,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.2879,14.395,1,8,hourly,Non-Hari Kerja,,2011-01-01,0,8,0.75,75.0,1,7,1,Musim Semi,0.24,9.84,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.3485,17.424999999999997,8,14,hourly,Non-Hari Kerja,,2011-01-01,0,9,0.76,76.0,1,6,1,Musim Semi,0.32,13.120000000000001,Cerah/Berawan Sebagian,1,6,Sabtu,0.0,0.0,0,2011,0
0.3939,19.695,12,36,hourly,Non-Hari Kerja,,2011-01-01,0,10,0.76,76.0,1,24,1,Musim Semi,0.38,15.58,Cerah/Berawan Sebagian,1,6,Sabtu,0.2537,16.997899999999998,0,2011,0
0.3333,16.665,26,56,hourly,Non-Hari Kerja,,2011-01-01,0,11,0.81,81.0,1,30,1,Musim Semi,0.36,14.76,Cerah/Berawan Sebagian,1,6,Sabtu,0.2836,19.0012,0,2011,0
0.4242,21.21,29,84,hourly,Non-Hari Kerja,,2011-01-01,0,12,0.77,77.0,1,55,1,Musim Semi,0.42,17.22,Cerah/Berawan Sebagian,1,6,Sabtu,0.2836,19.0012,0,2011,0
0.4545,22.725,47,94,hourly,Non-Hari Kerja,,2011-01-01,0,13,0.72,72.0,1,47,1,Musim Semi,0.46,18.86,Berkabut/Berawan,2,6,Sabtu,0.2985,19.999499999999998,0,2011,0
0.4545,22.725,35,106,hourly,Non-Hari Kerja,,2011-01-01,0,14,0.72,72.0,1,71,1,Musim Semi,0.46,18.86,Berkabut/Berawan,2,6,Sabtu,0.2836,19.0012,0,2011,0
0.4394,21.97,40,110,hourly,Non-Hari Kerja,,2011-01-01,0,15,0.77,77.0,1,70,1,Musim Semi,0.44,18.04,Berkabut/Berawan,2,6,Sabtu,0.2985,19.999499999999998,0,2011,0
0.4242,21.21,41,93,hourly,Non-Hari Kerja,,2011-01-01,0,16,0.82,82.0,1,52,1,Musim Semi,0.42,17.22,Berkabut/Berawan,2,6,Sabtu,0.2985,19.999499999999998,0,2011,0
0.4394,21.97,15,67,hourly,Non-Hari Kerja,,2011-01-01,0,17,0.82,82.0,1,52,1,Musim Semi,0.44,18.04,Berkabut/Berawan,2,6,Sabtu,0.2836,19.0012,0,2011,0
0.4242,21.21,9,35,hourly,Non-Hari Kerja,,2011-01-01,0,18,0.88,88.0,1,26,1,Musim Semi,0.42,17.22,Hujan/Salju Ringan,3,6,Sabtu,0.2537,16.997899999999998,0,2011,0
0.4242,21.21,6,37,hourly,Non-Hari Kerja,,2011-01-01,0,19,0.88,88.0,1,31,1,Musim Semi,0.42,17.22,Hujan/Salju Ringan,3,6,Sabtu,0.2537,16.997899999999998,0,2011,0
0.4091,20.455000000000002,11,36,hourly,Non-Hari Kerja,,2011-01-01,0,20,0.87,87.0,1,25,1,Musim Semi,0.4,16.400000000000002,Berkabut/Berawan,2,6,Sabtu,0.2537,16.997899999999998,0,2011,0
